country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-09-2025 14:00:00",26.2271665,84.3570427,SO2,6,7,6
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","12-09-2025 14:00:00",30.735567,76.775714,OZONE,4,48,21
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","12-09-2025 14:00:00",30.751462,76.762879,NH3,10,14,12
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-09-2025 14:00:00",30.719859,76.738637,NO2,4,15,7
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-09-2025 14:00:00",30.719859,76.738637,SO2,12,17,15
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","12-09-2025 14:00:00",21.194815,81.314770,SO2,6,8,7
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","12-09-2025 14:00:00",21.194815,81.314770,OZONE,2,30,15
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","12-09-2025 14:00:00",21.224231,81.408350,PM10,21,53,32
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","12-09-2025 14:00:00",21.224231,81.408350,NO2,9,29,17
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-09-2025 14:00:00",28.628624,77.241060,PM10,NA,NA,NA
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-09-2025 14:00:00",28.628624,77.241060,NO2,73,96,82
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-09-2025 14:00:00",28.628624,77.241060,NH3,4,7,5
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","12-09-2025 14:00:00",28.580280,77.233829,NO2,46,132,87
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-09-2025 14:00:00",28.611281,77.237738,PM2.5,37,107,48
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-09-2025 14:00:00",28.611281,77.237738,SO2,2,11,6
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","12-09-2025 14:00:00",28.636429,77.201067,PM10,55,124,89
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-09-2025 14:00:00",28.498571,77.264840,NH3,3,7,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-09-2025 14:00:00",28.498571,77.264840,SO2,9,13,11
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-09-2025 14:00:00",28.5710274,77.0719006,NO2,15,58,29
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-09-2025 14:00:00",28.5710274,77.0719006,CO,34,101,41
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-09-2025 14:00:00",28.5710274,77.0719006,OZONE,6,36,18
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","12-09-2025 14:00:00",28.5627763,77.1180053,OZONE,NA,NA,NA
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","12-09-2025 14:00:00",28.695381,77.181665,OZONE,5,36,21
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","12-09-2025 14:00:00",28.7256504,77.2011573,PM10,50,105,75
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-09-2025 14:00:00",28.5512005,77.2735737,NO2,13,55,28
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-09-2025 14:00:00",28.656756,77.227234,PM10,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-09-2025 14:00:00",28.656756,77.227234,OZONE,6,16,6
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","12-09-2025 14:00:00",22.08815,82.13737,PM2.5,14,203,33
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-09-2025 14:00:00",22.118125,83.140608,NH3,6,6,6
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-09-2025 14:00:00",22.118125,83.140608,OZONE,15,54,21
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-09-2025 14:00:00",22.368195,82.746431,NO2,4,10,7
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-09-2025 14:00:00",22.368195,82.746431,OZONE,2,11,4
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","12-09-2025 14:00:00",22.126650,83.483212,CO,20,25,22
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-09-2025 14:00:00",21.258815,81.578979,SO2,11,15,12
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-09-2025 14:00:00",21.258815,81.578979,OZONE,6,13,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","12-09-2025 14:00:00",21.237755,81.705301,PM2.5,4,6,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","12-09-2025 14:00:00",21.237755,81.705301,CO,7,16,12
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","12-09-2025 14:00:00",21.371751,81.664929,CO,12,18,12
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","12-09-2025 14:00:00",28.647622,77.3158090,PM2.5,73,193,110
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","12-09-2025 14:00:00",28.636429,77.201067,NO2,1,4,2
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-09-2025 14:00:00",28.684678,77.076574,PM2.5,20,83,42
